"Check","Severity","Excluded","Type","Description","Details"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(138.11 mm, 94.11 mm): Pad 1 [VDD] of J2 on F.Cu;@(137.31 mm, 94.11 mm): Pad 2 [/Sensor Group/TX4] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(137.31 mm, 94.11 mm): Pad 2 [/Sensor Group/TX4] of J2 on F.Cu;@(136.51 mm, 94.11 mm): Pad 3 [/Sensor Group/RX4] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(136.51 mm, 94.11 mm): Pad 3 [/Sensor Group/RX4] of J2 on F.Cu;@(135.71 mm, 94.11 mm): Pad 4 [/Sensor Group/TX3] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(135.71 mm, 94.11 mm): Pad 4 [/Sensor Group/TX3] of J2 on F.Cu;@(134.91 mm, 94.11 mm): Pad 5 [/Sensor Group/RX3] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(138.558794 mm, 93.4438 mm): Track [/Sensor Group/RX4] on F.Cu, length 1.6650 mm;@(138.11 mm, 94.11 mm): Pad 1 [VDD] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(134.91 mm, 94.11 mm): Pad 5 [/Sensor Group/RX3] of J2 on F.Cu;@(134.11 mm, 94.11 mm): Pad 6 [/Sensor Group/TX2] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(138.558794 mm, 93.4438 mm): Track [/Sensor Group/RX4] on F.Cu, length 1.6650 mm;@(137.31 mm, 94.11 mm): Pad 2 [/Sensor Group/TX4] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(134.11 mm, 94.11 mm): Pad 6 [/Sensor Group/TX2] of J2 on F.Cu;@(133.31 mm, 94.11 mm): Pad 7 [/Sensor Group/RX2] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(133.31 mm, 94.11 mm): Pad 7 [/Sensor Group/RX2] of J2 on F.Cu;@(132.51 mm, 94.11 mm): Pad 8 [/Sensor Group/TX1] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(132.51 mm, 94.11 mm): Pad 8 [/Sensor Group/TX1] of J2 on F.Cu;@(131.71 mm, 94.11 mm): Pad 9 [/Sensor Group/RX1] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(138.6592 mm, 93.2014 mm): Track [/Sensor Group/RX3] on F.Cu, length 3.4896 mm;@(139.41 mm, 92.26 mm): Pad S1 [GND] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(131.71 mm, 94.11 mm): Pad 9 [/Sensor Group/RX1] of J2 on F.Cu;@(130.91 mm, 94.11 mm): Pad 10 [GND] of J2 on F.Cu"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(138.6592 mm, 93.2014 mm): Track [/Sensor Group/RX3] on F.Cu, length 0.3609 mm;@(139.41 mm, 92.26 mm): Pad S1 [GND] of J2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(126.95 mm, 100.48 mm): Pad 6 [VDD] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(127.95 mm, 100.48 mm): Pad 4 [Net-(X1-RX)] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(127.45 mm, 100.48 mm): Pad 5 [GND] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(127.95 mm, 102.02 mm): Pad 3 [Net-(X2-RX)] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(126.95 mm, 102.02 mm): Pad 1 [GND] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 100.5 mm): Rectangle of X2 on F.Silkscreen;@(127.45 mm, 102.02 mm): Pad 2 [GND] of X2 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 95.8 mm): Rectangle of X1 on F.Silkscreen;@(127.45 mm, 95.78 mm): Pad 5 [GND] of X1 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 95.8 mm): Rectangle of X1 on F.Silkscreen;@(126.95 mm, 95.78 mm): Pad 6 [VDD] of X1 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 95.8 mm): Rectangle of X1 on F.Silkscreen;@(127.95 mm, 95.78 mm): Pad 4 [/Sensor Group/RX1] of X1 on F.Cu"
