Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"CC_1","~","C0402-CAPC1005X22N",125.4500,-96.7120,270.0000,bottom
"CC_2","~","C0402-CAPC1005X22N",130.1500,-96.7120,270.0000,bottom
"CC_3","~","C0402-CAPC1005X22N",134.8500,-96.7120,270.0000,bottom
"CC_4","~","C0402-CAPC1005X22N",139.5500,-96.7120,270.0000,bottom
"CC_5","~","C0402-CAPC1005X22N",125.4500,-101.4120,270.0000,bottom
"CC_6","~","C0402-CAPC1005X22N",130.1500,-101.4120,270.0000,bottom
"CC_7","~","C0402-CAPC1005X22N",134.8500,-101.4120,270.0000,bottom
"CC_8","~","C0402-CAPC1005X22N",139.5500,-101.4120,270.0000,bottom
"CC_9","~","C0402-CAPC1005X22N",125.4500,-106.1120,270.0000,bottom
"CC_10","~","C0402-CAPC1005X22N",130.1500,-106.1120,270.0000,bottom
"CC_11","~","C0402-CAPC1005X22N",134.8500,-106.1120,270.0000,bottom
"CC_12","~","C0402-CAPC1005X22N",139.5500,-106.1120,270.0000,bottom
"CC_13","~","C0402-CAPC1005X22N",125.4500,-110.8000,270.0000,bottom
"CC_14","~","C0402-CAPC1005X22N",130.1500,-110.8120,270.0000,bottom
"CC_15","~","C0402-CAPC1005X22N",134.8500,-110.8120,270.0000,bottom
"CC_16","~","C0402-CAPC1005X22N",139.5500,-110.8120,270.0000,bottom
"J2","Amphenol-ICC_Minitek-08_10P","Amphenol-ICC_Minitek-08_10P",134.5100,-93.0100,180.0000,top
"X1","~","TLI493D-x4D7_R7_R1103_V3",127.4500,-96.5500,0.0000,top
"X2","~","TLI493D-x4D7_R7_R1103_V3",127.4500,-101.2500,0.0000,top
"X3","~","TLI493D-x4D7_R7_R1103_V3",127.4500,-105.9500,0.0000,top
"X4","~","TLI493D-x4D7_R7_R1103_V3",127.4500,-110.6500,0.0000,top
"X5","~","TLI493D-x4D7_R7_R1103_V3",132.1500,-96.5500,0.0000,top
"X6","~","TLI493D-x4D7_R7_R1103_V3",132.1500,-101.2500,0.0000,top
"X7","~","TLI493D-x4D7_R7_R1103_V3",132.1500,-105.9500,0.0000,top
"X8","~","TLI493D-x4D7_R7_R1103_V3",132.1500,-110.6500,0.0000,top
"X9","~","TLI493D-x4D7_R7_R1103_V3",136.8500,-96.5500,0.0000,top
"X10","~","TLI493D-x4D7_R7_R1103_V3",136.8500,-101.2500,0.0000,top
"X11","~","TLI493D-x4D7_R7_R1103_V3",136.8500,-105.9500,0.0000,top
"X12","~","TLI493D-x4D7_R7_R1103_V3",136.8500,-110.6500,0.0000,top
"X13","~","TLI493D-x4D7_R7_R1103_V3",141.5500,-96.5500,0.0000,top
"X14","~","TLI493D-x4D7_R7_R1103_V3",141.5500,-101.2500,0.0000,top
"X15","~","TLI493D-x4D7_R7_R1103_V3",141.5500,-105.9500,0.0000,top
"X16","~","TLI493D-x4D7_R7_R1103_V3",141.5500,-110.6500,0.0000,top
